07:19:58 [INFO] Found netvar: m_MoveType => 0x25B
07:19:58 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31C4
07:19:58 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31C0
07:19:58 [INFO] Found netvar: m_aimPunchAngle => 0x302C
07:19:58 [INFO] Found netvar: m_aimPunchAngleVel => 0x3038
07:19:58 [INFO] Found netvar: m_bGunGameImmunity => 0x3944
07:19:58 [INFO] Found netvar: m_bHasDefuser => 0xB388
07:19:58 [INFO] Found netvar: m_bHasHelmet => 0xB36C
07:19:58 [INFO] Found netvar: m_bInReload => 0x3238
07:19:58 [INFO] Found netvar: m_bIsDefusing => 0x3930
07:19:58 [INFO] Found netvar: m_bIsScoped => 0x3928
07:19:58 [INFO] Found netvar: m_bSpotted => 0x93D
07:19:58 [INFO] Found netvar: m_bSpottedByMask => 0x980
07:19:58 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
07:19:58 [INFO] Found netvar: m_fAccuracyPenalty => 0x3330
07:19:58 [INFO] Found netvar: m_fFlags => 0x104
07:19:58 [INFO] Found netvar: m_flFallbackWear => 0x31D0
07:19:58 [INFO] Found netvar: m_flFlashDuration => 0xA420
07:19:58 [INFO] Found netvar: m_flFlashMaxAlpha => 0xA41C
07:19:58 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3238
07:19:58 [INFO] Found netvar: m_hActiveWeapon => 0x2EF8
07:19:58 [INFO] Found netvar: m_hMyWeapons => 0x2EF8
07:19:58 [INFO] Found netvar: m_hObserverTarget => 0x338C
07:19:58 [INFO] Found netvar: m_hOwner => 0x29CC
07:19:58 [INFO] Found netvar: m_hOwnerEntity => 0x14C
07:19:58 [INFO] Found netvar: m_iAccountID => 0x2FC8
07:19:58 [INFO] Found netvar: m_iClip1 => 0x3264
07:19:58 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
07:19:58 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
07:19:58 [INFO] Found netvar: m_iCrosshairId => 0xB388
07:19:58 [INFO] Found netvar: m_iEntityQuality => 0x2FAC
07:19:58 [INFO] Found netvar: m_iFOVStart => 0x31E8
07:19:58 [INFO] Found netvar: m_iFOV => 0x31E4
07:19:58 [INFO] Found netvar: m_iGlowIndex => 0xA420
07:19:58 [INFO] Found netvar: m_iHealth => 0x100
07:19:58 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FAA
07:19:58 [INFO] Found netvar: m_iItemIDHigh => 0x2FC0
07:19:58 [INFO] Found netvar: m_iObserverMode => 0x3378
07:19:58 [INFO] Found netvar: m_iShotsFired => 0xA390
07:19:58 [INFO] Found netvar: m_iState => 0x3258
07:19:58 [INFO] Found netvar: m_iTeamNum => 0xF4
07:19:58 [INFO] Found netvar: m_lifeState => 0x25F
07:19:58 [INFO] Found netvar: m_nFallbackPaintKit => 0x31C8
07:19:58 [INFO] Found netvar: m_nFallbackSeed => 0x31CC
07:19:58 [INFO] Found netvar: m_nFallbackStatTrak => 0x31D4
07:19:58 [INFO] Found netvar: m_nForceBone => 0x268C
07:19:58 [INFO] Found netvar: m_nTickBase => 0x3430
07:19:58 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
07:19:58 [INFO] Found netvar: m_szCustomName => 0x303C
07:19:58 [INFO] Found netvar: m_szLastPlaceName => 0x35B4
07:19:58 [INFO] Found netvar: m_vecOrigin => 0x138
07:19:58 [INFO] Found netvar: m_vecVelocity => 0x114
07:19:58 [INFO] Found netvar: m_vecViewOffset => 0x108
07:19:58 [INFO] Found netvar: m_viewPunchAngle => 0x3020
07:19:58 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31D4
07:19:58 [INFO] Found netvar: m_clrRender => 0x70
07:19:58 [INFO] Found netvar: m_flC4Blow => 0x2990
07:19:58 [INFO] Found netvar: m_flTimerLength => 0x2994
07:19:58 [INFO] Found netvar: m_flDefuseLength => 0x29A8
07:19:58 [INFO] Found netvar: m_flDefuseCountDown => 0x29AC
07:19:58 [INFO] Found netvar: cs_gamerules_data => 0x0
07:19:58 [INFO] Found netvar: m_SurvivalRules => 0xD00
07:19:58 [INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1328
07:19:58 [INFO] Found netvar: m_bIsValveDS => 0x7C
07:19:58 [INFO] Found netvar: m_bFreezePeriod => 0x20
07:19:58 [INFO] Found netvar: m_bBombPlanted => 0x9A5
07:19:58 [INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
